word,definition,length
bulig,"(N.) mudfish.
[metaphor] ‘penis’.",5
buluq,"(N.) 1. rice dust.
2. a wild bamboo used to make sawali walling
material.
3. fine hairs on stalk of sugar-cane, very itchy.
(D.) mikibu’luq ‘fuzzy’.",5
buluk,"(D.) rotten, fetid.
mabuluk.
(V.) pa:buluk ‘allow to become fetid’.",5
bulugan,(N.) stud (see bara’ku).,7
bulung,"(N.) leaf; page of a book.
(D.) mabulu’ng ‘leafy’.",6
bulung,"(V.) whisper.
bubulung, bulungan ‘whisper something’;
bilungan, bilung; ma:mulung, pa:bulung;
a:bulung; mibubulungan.",6
bulungan,"(N.) a kind of banana, green and about 10
inches long (fruit).",8
bulus,(V.) bubulu’s ‘rush into something’.,5
bulutung,"(N.) small-pox.
bulutu’ngan ‘small-pox victim’.",8
bulyo,"(V.) shout.
bubulyo, mamulyo, pa:mulyo, bulyo’n ‘shout at
someone’, bilyon, mipabulyo, pakibulyo.",5
bumba,"(V.) pump, spray.
mamumba; makapamumba; bumban ‘spray
something’; pa:bumba; pakibumba; i-bumba
‘spray something for one’; pa-mumban.
[metaphor] ‘have sexual intercourse’.",5
buangin,"(N.) a kind of soil, mixed clay and sand. cf.
bu(h)angin",7
buis,"(N.) tax, rent, income, revenue.",4
bumbong,"(N.) puto-bumbong ‘a kind of bamboo; rice
cake, steamed through bamboo tubes’.",7
bumbunan,(N.) fontanel.,8
bunduk,"(N.) mountain.
bundukbundu’kan ‘hilly land’; bulubundu’kan
‘the Mountain Prov(s)’.
(D.) mabunduk ‘mountainous’.",6
bunga,"(N.) fruit.
bungang-aldo ‘heat-rash’.
(V.) mamunga ‘bear fruit’; pa:bungan
‘share-crop’.
mabunga ‘bearing fruit abundantly’.",5
bungal,"(D.) lacking front teeth.
mabungal.
(V.) pabungal, pa:mungal, pakibungal,
ke:bungalan.",6
bungangaq,"(N.) whistle, loud sudden noise.",9
bungiq,"(D./St.) split, shattered, having a harelip or
lacking front teeth.
(V.) a:bungiq, me:bungiq.",6
bunitil,(N.) one grain of rice.,7
bunsu,"(N.) baby, youngest in a family. pekabunsu’ ‘the
youngest’.",5
bunsul,"(D./St.) unconscious. mabubunsul.
(V.) bunsula’n ‘knock someone unconscious’.",6
buntal,"(N.) a hat made of woven and starched reeds
or grasses.",6
buntuk,"(N.) head.
[metaphor] ‘chief, front of truck’.
(V.) mamuntuk ‘carry on head’.
See puntuk.",6
buntun,"(N.) pile, stack.
bu’ntun-a’re ‘haystack’.
(V.) buntunan, bintunan; ibuntun; pa:muntun;
pakibuntun; mibuntun.",6
bunut,"(N.) coconut husk used for polishing floors.
(V.) mamunut, bunutan ‘husk-polish
something’, pakibunut, a:bunut, mabunut.",5
bunwan,(N.) small fish corral.,6
bura,"(V.) buran ‘erase something’. pa:mura.
(N.) pa:mura ‘eraser’.
(D.) mabura ‘erased’.",4
burak,"(N.) mud.
bu’rak-biti’s ‘farmer [derogatory]’; bura’kan ‘a
muddy place’; pipagburakan ‘wallowing hole’.
(D.) maburak ‘muddy’.
(V.) buburakan ‘put in mud (e.g. balut)’;
magburak ‘play with mud’.",5
buraldal,"(D.) clumsy.
kaburaldalan.",8
burarit,(N.) a local cockpit in Bacolor.,7
burarul,"(N.) kite.
pipagburarulan ‘a place to fly kite’.
(V.) mamurarul, makapamurarul.",7
burat,"(V.) pull back foreskin of penis.
buburat, birat; pa:murat.",5
buren,See paburen.,5
burilyus,"(N.) rods used in working bamboo, in fishing
and elsewhere, as lances in a contest in which
bicycle-riders attempt to spear small rings
hung on ribbons across the path. Also bingo
counters and bowling pins.",8
buro,"(N.) preserved eggs, ‘red eggs’.
(V.) mamuro, paburu, makapamuro ‘to salt to
preserve’.",4
burul,(D./St.) makaburul ‘lie in state’.,5
busa,"(V./D./St.) popped.
busang mais ‘popcorn’.",4
busal,"(V.) insert between two things.
busalan, pabusalan, pabusal, ibusal.
(N.) busal ning mais ‘corncob’.",5
busal,(V.) busalan ‘hit someone with raised knuckle’.,5
busbus,"(N.) hole.
busbus ipan ‘cavity’; busbus arung ‘nostril’;
busbus butunis ‘button hole’.
(V.) busbusan ‘bore, poke hole(s) in’; bisbusan
[fig.] ‘penetrate a virgin’; mamusbus,
pa:musbus, a:busbus, ibusbus.
(D.) mabusbus, makabusbus.",6
busina,"(N.) horn (for blowing, auto horn).
(V.) bubusina ‘blow horn’; mamusina;
makibusina; pamusinan; ibusina.",6
busluq,(N.) basket.,6
busniq,"(D./St.) opened, unlocked.
busniq, bisniq, makabusniq.
(V.) ibusniq ‘open something’; pe:-musniq,
a:busniq, pa:busniq, a:pabusniq; mamusniq,
pakibusniq, mibusniq, makipamusnyan,
mangabusniq.",6
butil,"(N.) kernel, grain.",5
butit,"(N.) calf of leg.
(V.) butitan ‘hit in calf’; bititan.",5
butuq,"(N.) penis.
bu’tung-bulu’gan ‘plow blade’.
[lit. ‘penis of boar’].",5
butul,"(N.) seed, stone, bone.
pangabutul ‘size of seed’; utak ning butul
‘bone marrow’.
(D.) mikibutul ‘having seed(s)’.",5
bitunis,"(N.) button(s).
(V.) butunisan ‘button something up’;
mamutunis ‘one who puts on button’;
makapamutunis ‘can sew on button’.",7
bwak,"(N.) hair.
bwakbwakan/bwakbwakin ‘hair on arms or
forehead’.
(D.) mabuak ‘have hair on (as after a haircut)’.",4
biyasa,"(V./St.) know how.
(D.) mabiyasa ‘knowledgeable’; mabibiyasa ‘is
learning’.",6
byernis,"(N.) Friday.
byernisa’nto ‘Good Friday’;
lu’pangbyernisa’nto ‘sad-faced’.",7
byuk,"(N.) scar.
(D.) mabyuk ‘scarred’; mikabyuk.
(V.) byukan ‘give a scar to someone’;
pa:myukan.",4
byuda,(N.) widow; see ba’lu.,5
byung,"(N.) roaring sound.
(V.) biyung, binyung; mamyung, memyung.",5
ka,"1. personal pronoun, ‘you’ (Sg.); ing-case,
non-emphasized.
2. prefix with descriptive bases produces
emphatic descriptives.
3. prefix with verb and noun bases produces
nouns; ka- + noun produces a noun meaning
one of a type, partner in…
4. prefix with cardinal numbers produces
ordinal numbers.",2
kabaq,"(N.) length.
(V.) kakabaq, kakaban ‘lengthen something’;
magpakabaq ‘stretch self’; pakikabaq;
ikabaq; a:kabaq; pakabaq; pakaban;
mipakabaq.
(D.) makabaq; makabakabaq.",5
kabaq,(N.) tu’lung-kaba’q ‘triangle’.,5
kabag,"(N.) a kind of bat (mammal).
(D.) ma’kaba’g ‘bat-infested’.",5
kabaldugan,"(N.) meaning, significance; see baldug.
(V.) mangabaldugan ‘have a meaning’.",10
kabambangan,"(N.) the barrio of Bacolor which in the town
proper.",11
kabangal,"(N.) counterpart, one of a pair.
kaba’ngal a salu’q ‘spouse’.",8
kabaret,"(N.) cabaret, nightclub + dance hall.
(V.) mangabaret ‘go to a cabaret’;
makapangabaret.",7
kabasa,(N.) acquaintance; see ba’sa.,6
kabaung,"(N.) coffin.
(D.) makakabaung ‘in a coffin’.
(V.) ikabaung ‘put someone in a coffin’;
pakabaung.",7
kabayu,"(N.) horse.
pakabayu ‘sawhorse, ironing-board’.
(V.) kabaywan ‘ride horseback on a person’;
magabayu, pangabayu; pa:kabayu ‘give
horseback ride’.",6
kabesa,"(N.) head (in a figurative sense), leader.
kabise’ra ‘capitol’.
(D.) makakabesa ‘sit at the head of the table’.",6
kabisadu,"(D.) adept, skilled.",8
kabisera,(N.) capitol; see kabe’sa.,8
kabit,"(V.) put, fix, attach. mangabit, pa:kabit,
pakikabit, ikabit, pa:ngabit, ka:bitan,
makapangabit.
(N.) kabi’t ‘common-law wife’.",5
kablas,"(N.) echo; see ablas, revenge.",6
kabli,"(N.) electric wires, cable, other wire.
kabligra’ma ‘cablegram’.",5
kabukasan,"(N.) the next day; see bukas.
(V.) kebukasan ‘kept until the next day, held
(e.g.) busy overnight’.",9
kabud,"(Q.) unexpectedly, unannounced.
kabudkabud; [syntactically comparable to
agad].",5
kabyus,"(V.) kakabyus ‘by-pass, go askew’.
kinabyus, a:kabyusan, mikabyus, pa:ngabyus.",6
kakaq,(N.) older brother.,5
kakak,"(V.) stutter.
mangakakak ‘stutter repeatedly’; me:kakak.
(D./St.) makakak ‘conducive to stuttering’.",5
kaklak,"(D.) deaf.
maklak, makaklak.
(V.) mangaklak, a:kaklak, apakaklak.",6
kadena,"(N.) chain.
(V.) ikadena ‘chain something’; a:kadena,
kakadena, kinadena.",6
kadwaq,(N.) second.,6
kaju,"(N.) male nickname, from Arcadio.",4
kaju,"(V.) kakaju ‘have sexual intercourse’.
[“a funny word”].",4
kagliq,"(V.) kakagliq ‘is conceiving’ i.e. ‘is in first two
months of pregnancy’.
kigliq, mangagliq, makikagliq, a:kaglian,
keglian, pengiglian ‘crave something while
conceiving’.
(N.) pa:mangagliq.",6
kago,"(N.) a kind of insect (flea, tic?).
(D.) makago ‘bitten by kago’.",4
kai,"(N.) [full-word filler, empty semantically].
‘watch-a-ma-call-it,
you-know-who/what-I-mean’.
(D.) makai ‘like you-know-how’; makakai ‘in
such-and-such a state’; potang kai ‘indefinite
future’; ketang kai ‘indefinite past’.
(V.) mangai, kakai, kayan, kinyan, makakai
‘able to do it’, makikai, pakikai, pa:kai,
pangakai.",3
kaqibat,(Q./N.) afterwards; see ibat.,7
kaqikut,"(N.) tailbone, end of the spine.",7
kaqili,"(N.) left (direction).
52",6
kaqingin,"(N.) slash-and-burn field (swidden).
(V.) magkaqingin.",8
kalahi,(N.) species.,6
kalaldo,"(N.) the hot season.
(V.) makipagkalaldo ‘spend the summer’.",7
kalale,"See alale, alalay-.
magkalakalale ‘be careful’.",6
kalamangge,(N.) a vegetable.,10
kalame,"(N.) sweets, dessert.",6
kalamnan,"(N.) contents, table of contents; see laman.",8
kalampag,"(N.) tapping noise.
(D.) makalampag ‘noisy, has lots of tapping’.
(V.) mangalampag, makikalampag,
pa:kalampag, pangalampag.",8
kalamunding,"(N.) calamansi, a citrus fruit.",11
kalangan,"(N.) (promiscuity), state of being in heat; see
landi.",8
kalang,"(N.) stove, place where the cooking fire is
kept.
kala’ng-u’ling ‘charcoal stove’; pagkalangan
‘cooking place’; pekakalang ‘stones which
hold pot over the fire’.
(V.) mag-tungkung-kalang ‘sit or squat with
two others, in the same positions as the pot
stones’.",6
kalat,"(V.) scatter.
magkalat, magkalatkalat; pangalat,
makikalat; pa:kalat, ikalat; mipakalat,
mikakalat, a:kalat.
(D.) makalat.",5
kalbag,"(N.) swelling, lump.
(St./V.) swell, be swollen.
mangalbag, makikalbag, pa:kalbagan.
(D.) makalbag ‘swollen’; inundated.
(also used of a hose used to check levels in
carpentry–water and air bubble).",6
kalbit,"(V.) pinch, pressure.
mangalbit, pakikalbit, pa:kalbit, pangalbit,
kakalbitan, a:kalbit, makapangalbit,
pangalbitan.",6
kalderaq,"(N.) storage place and equipment in a part of
sugar extracting.",8
kaldero,(N.) a large metal cooking pot.,7
kalendaryu,"(N.) calendar, schedule.",10
kalesa,"(N.) two-wheel horse-drawn carriage.
(V.) mangalesa ’ride a calesa.
(D.) makalesa ‘many calesas in a place’.",6
kalgarita,"(N.) a meat stew, usually with dog or goat as
the main ingredient (quite spicy).",9
kalikubak,(N.) dandruff.,9
kalingkingan,(N.) little finger.,12
kalingwan,"(V.) forget.
ke:lingwan, ma:ngalingwan, a:kalingwan.",9
kalis,"(V.) kalisan ‘cut (hair–as scraping a pig’s
carcass, grass, cane)’.
mangalis, pakikalis, makikalis, a:kalis,
makapangalis, pa:ngalis.",5
kaluq,(N.) pulley.,5
kalugkug,"(V.) chug, rumble (e.g. jeep motor, hungry
stomach).
kakalugkug, makikalugkug, mangalugkug.
(D.) makalugkug.",8
kaluguran,"(N.) ka:luguran ‘friend’; kalugura’n
‘sweetheart’.
(V.) kalugura’n ‘love someone’; see lugu’d.",9
kaluluq,"(N.) a poor person.
(V.) pa:kaluluq, ke:kaluluq.
(D./St.) paka:kaluluq, pa:ngakaluluq ‘very
poor’, kakaluluwan.",7
kalyu,"(N.) corn, callus.
(V.) magkalyu ‘get calluses’, maka-pangalyu.
(D.) makalyu, makikalyu, mangakalyu.",5
kamagqanak,"(N.) relatives, family relationship.
(V.) makikamaganak ‘posing as relatives’; see
anak.",10
kamalig,(N.) storehouse.,7
kamamaluq,"(N.) a deadly snake, black or maroon in color
(cobra?).",9
kamandag,"(N.) venom.
(D.) makamandag, makikamandag ‘venomous,
pe:kakakamandag.",8
kamansiq,(N.) a citrus fruit.,8
kamangyang,(N.) string beans.,10
kamaruq,"(N.) a kind of cricket, eaten fried or cooked
with tomatoes.
55",7
kamacili,(N.) a kind of edible plant (pepper?).,8
kamauq,(N.) fist.,6
kambal,"(N.) twin.
(V.) kakambal, mikambal.
(Q.) kambal kami malan ‘we are wearing
matching clothes’.",6
kambing,(N.) goat.,7
kambubulag,"(N.) a small moth which damages rice and
sugar cane.",10
kambyu,"(N.) gears, gearshift; railraod switch.
(V.) mangambyu, a:kambyu, mipakambyu.",6
kami,"(Substitute: personal pronoun) we (excluding
person spoken to).",4
kampanaq,"(N.) church bells.
kampana’ryu ‘bell tower’.
(V.) magkampanaq ‘ring church bells’.",8
kampil,"(N.) 1. a kind of suman wrapper.
2. a long Moro knife.
kampila’n.",6
kampit,(N.) a kitchen knife.,6
kampu,"(N.) base (e.g. Clark Field).
kampusa’ntu ‘cemetery’.",5
kamuti,"(N.) an edible tuber, cassava.
kamuting-du’tung, kamuting-ba’gin.",6
kan,"(N.) kakanan ‘food’.
kanan, pa:mangan, pe:ngan ‘thing eaten’.
(V.) mangan, mengan; pengan; a:pangan;
pa:pakan ‘feed someone’; makipangan.",3
kanal,"(N.) canal, ditch.
(D.) mekanal ‘fell in a ditch’.
(V.) pa:kanal ‘have a ditch dug’.",5
kanatba,"(N.) the other side, across, opposite.",7
kandaba,"(N.) Candaba (the name of both a town and a
large swamp in Pampanga).",7
kandatuq,(N.) a yellow and black spider found in trees.,8
kandidatu,"(N.) political candidate, candidate for
election.",9
kandilaq,(N.) candle.,8
kandung,"(V.) mangandung ‘carry in lap’.
kandunga’n ‘put someone in lap’.
(N.) kandu’ngan ‘lap’.",7
kanduruq,(N.) a yellow and black bird.,8
kandut,"(V.) kakandutan ‘pinch with a twisting
motion’.
kandutandutan, mikandutandutan.",6
kanita,(Substitute) king-case for of ita.,6
kantero,(N.) singer; mason.,7
kantu,"(N.) corner.
(V.) magkantukantu ‘stand around on the
corner’; pakantukantu.",5
kanu,"(Adjunct: discourse particle) reportative, i.e.
it is said, they said, he said, it seemed.",4
kanuq,"(N.) American, Caucasian (i.e. does not
include American Negroes).",5
kanuwan,"(N.) forehead, skull.",7
kanyan,"(Substitute) now, like that. makanyan.
(V.) pa:kanyan, a:kanyan.",6
kanyu,(N.) pig slop.,5
kanyun,"(N.) cannon.
[metaphor] ‘penis’.",6
kap,(N.) a good thing; see mayap.,3
kapad,"(D.) appropriate, fitting, suited, at ease with.
kapadkapad.
(V.) maningapad.",5
kapal,"(N.) thickness.
(D.) makapal ‘thick, wide’; makapal a lupaq
‘thick-faced’.
(V.) pakapalan ‘make something thick’;
a:kapal.",5
kapamakan,"(N.) humility, abjectness.",9
kapamuq,"(Q.) just a moment, wait a second.",7
kapatad,"(N.) sibling.
mikapatad, mikakapatad; kinakapatad
‘baptismal brother’; kapataran ‘brotherhood’.",7
kapaya,"(N.) papaya, a fruit.",6
kape,"(N.) coffee.
(V.) magkape’ ‘drink coffee’.",4
kapilan,"(Substitute) when?.
kapilan-man ‘never’.",7
kapis,"(N.) Capiz, a province of Panay,
believed to be the home of aswang.",5
kapit,"(Q.) by-the-head (manner of selling). porkapit,
kapitkapit.",5
kapit,"(Q.) together.
(N.) a type of banana, grows with the fruit
bunched together.
(V.) kapi’tan ‘be close to someone, especially
to one in power’.",5
kapitan,"(N.) captain.
kapitan-del-baryu.",7
kapitangangbengi,"(N.) midnight; see kapitnaq.
(V.) mengapitangang-bengi ‘stayed up until
midnight’.",16
kapitnaq,(N.) half; see pitnaq.,8
kaplin,(N.) cufflinks.,6
kapoti,"(N.) raincoat or jacket.
(D.) makakapoti ‘wearing a kapoti’.
(V.) magkapoti, papagkapotcan.",6
kapri,"(N.) a spirit, said to be tall, black, smoking
foot-long cigars, and appearing at night.",5
kaputul,"(N.) [metaphor] ‘sibling’.
[lit.] ‘companion in being cut’; see putul.",7
karangan,"(N.) a finger measurement–the distance
between thumb and middle finger.",8
karat,"(V.) ‘making babies’.
kakarat, kinarat, makakarat, mangakarat,
makikarat, ke:rat, pakikarat, magpakarat,
pa:karat, pangarat, a:karat, ka:karatan.
(D.) makarat.
(N.) pa:mangarat.",5
karayum,"(N.) needle.
tula’ng-kara’yum ‘a kind of dragonfly’.",7
karbayd,(N.) carbide–a kind of lantern used for fishing.,7
karburador,(N.) carburetor.,10
karen,"(Substitute) those, king-case.",5
karga,"(N.) baggage.
(V.) carry.
kargan, magpakarga, pakikarga, pa:karga,
pa:ngarga, ikarga, a:karga, mipakarga.
(D.) makarga.",5
karin,(Substitute) location ‘there (far)’.,5
karinyo,"(D.) makarinyo ‘loving’.
mapangarinyo.
(V.) mangarinyo, kerinyo, a:karinyo.
(N.) karinyo’sa ‘1. beloved, a loving girl; 2. a
type of banana’.",7
karta,"(N.) letter.
karte’ro ‘mailman’.",5
kartilya,"(N.) 1. a manual to be memorized; a literacy
manual.
2. wheelbarrow.",8
karug,"(V.) kakarug ‘tremble’, kinarug, makikarug,
pa:karug, a:pakarug.
(D.) makarug.",5
karuwaye,"(N.) wagon.
(V.) mangaruwaye ‘ride in a …’,
makikaruwaye, pe:ngaruwayi,
maka:pangaruwayi.",8
kasal,"(N.) marriage, wedding.
talakasal, kasal-wes ‘civil ceremony’.
(V.) kakasal, kinasal, ke:sal; ikasal;
magpakasal; pa:kasal; pa:ngasal; a:kasal;
mipakasal.
(D.) makasal, me:kasal.",5
kasalusungan,(Q.) at present.,12
kasamak,(N.) tenant; see samak-,7
kasaman,"(V.) hate.
kisaman, a:kasaman.",7
kasangkapan,"(N.) tool(s), appliances.",11
kasapunggul,(N.) a measure–two handsful; see punggul.,11
kasapwego,"(N.) matches, matchbox.",9
kasat,"(N.) tantrum.
(V.) kakasat ‘throw a tantrum’.
kinasat, magkasat, a:kasat, ke:sat, pa:ngasat,
pangakasat.
(D.) makakasat ‘in a tantrum state’.",5
kaskas,"(V.) rub, scratch, grate.
kakaskas, mangaskas, ikaskas, a:kaskas,
mipakaskas, pa:ngaskas.
(N.) kaskasan ‘thing to scratch’.
(D.) makakaskas.
See kiskis.",6
kasera,"(N.) boarder.
ma:ngasera.",6
kasi,(Subcomb./Q.) because.,4
kasipingbale,(N.) neighbor.,12
kasumangid,(N./St./D.) opposite; see kanatba.,10
kasyuq,(N.) male nickname from Nicasio.,6
kata,(Subs.) I and thou; see ikata.,4
katandan,"(N.) a type of banana [said to be called
katoldan in Sexmoan].",8
katat,"(V.) flay (hack?).
kinatat, katatan, ma:ngatat, pa:katat,
pa:ngatat, a:katat.
(D.) makatat.",5
katawan,"(N.) body; flesh.
(V.) makipangatawan ‘commit adultery’.",7
katitikal,(D.) makes one numb; [also] name of a club.,9
katmuq,"(D.) filled (of a container).
makatmuq, kitmuq.
(V.) kumatmuq, kinatmuq, katmwan,
pa:katmwan, pa:katmuq.",6
katri,"(N.) bed.
(V.) manga’tri ‘lie abed’.",5
katuangan,"(N.) parent(s)-in-law.
(V.) mangatuangan ‘going to the
father-in-law’; pa:katuanga, a:katuangan.",9
katuliran,(N.) rights; see tu’lid.,9
katun,"(N.) alphabet; see kanti’lya, ko’digo.",5
kacap,"(V.) (Eng. ‘catch up’).
a:ka:cap ‘understand, grasp’.",5
kaul,"(V.) embrace.
kaulan, kinaul.",4
kaung,"(V.) bark of a dog.
kakaung.
(N.) bark of a dog.",5
kawa,"(N.) vat, a large iron cauldron.",4
kawag,(N.) the smallest fingerlings in fishponds.,5
kawaniq,"(V./St.) be separated, go separate way.
maka:kawaniq [ability], mikawaniq,
mika:kawaniq, mipakawaniq, makikawaniq,
pakikawaniq, pa:kawaniq, ikawaniq,
ke:waniq, pa:ngawaniq; makakawaniq
‘separated’.",7
kwayan,(N.) bamboo.,6
kawe,"(V.) swim (primarily refers to the hand
stroke).
kewe, kewen, ikawe, pa:kawen, pakikawe.
(N.) pa:mangawe.",4
kaya,"(Subs.) he, she; king-case.",4
kayaq,"(Adjunct) doubt, possibility.",5
kayag,"(V.) attract.
kakayag.",5
kayaldawanan,"(N.) anniversary, birthday; see aldo’.",12
kayan,(V.) See ka’i.,5
kayapan,"(N.) goodness; see mayap, qapqap, kumayap.
(V.) kayap, kumayap ‘get well, recover’;
mangayap; makakayap; pa:kayap;
pa:kayapan; a:pakayap.
(D.) makayap, mikayap, makikayap.",7
kayas,"(V.) whittle.
kayasan, ke:yasan, mangayas, makakayas,
pa:kayas, pa:ngayas, a:kayas.
(D.) makayas ‘whittled’.",5
kailangan,"(V.) need.
mangailangan.",9
kaymitu,(N.) star-apple (a fruit).,7
kayu,"(Subs.) you (pl.), ing-case, short.",4
komanggiq,"(D.) brown, the skin-color of Filipinos.",9
ke,"(Subcomb.) marks relative.
1. clause (embedded sentnece functioning as
attribute).
2. Subst. = kami.
3. Subst., portmanteau: ku + ya.",2
keke,[babytalk] ‘put it here’.,4
ken,"1. substitute, locative ‘there’.
2. abbreviated form of keng.",3
kendi,(N.) candy.,5
keni,"(Subs., loc) ‘here’.
me:keni ‘come here’.",4
kenu,Alt. form of kaninu ‘whose?’.,4
keraq,"(D./St.) makake’raq ‘resting, lying down’.
(N.) pagkeran ‘bed, resting place’.",5
keraklan,(Q.) usually.,8
kesaq,"(Q.) than (in comparative construction).
mas…kesaq.",5
kesu,(N.) cheese.,4
ket,"(V.) bite.
ketan, kiketan, manget, mangaket, pakiket,
a:ket, a:paket, iket, pe:nget, mipanget.",3
keta,"(Subs., loc) ‘there (nearby)’.",4
keti,"(Subs., loc) ‘there (near here)’.",4
kilala,"(V./St.) be acquainted.
kakilala, mikilala, a:kilala, makikilala
‘recognize’; pakikilala, pakikilala ‘make
known, introduce’; mipangilala, makakilala,
64",6
kildap,"(N.) lightning.
(V.) mangildap.
(D.) makildap, makikildap.",6
kile,"(N.) eyebrow; axillary hair; see kilikili.
(V.) mangile ‘put on eyebrow/lash, makeup’.
pa:kile, a:pakile.",4
kilik,"(V.) kilikan ‘carry (a baby) on one’s hip’.
mangilik, maka:kilik, pakikilik, a:kilik,
pangikikan.
(N.) pa:mangilik.
(D.) makilik, mekilik, makakilik.",5
kilikili,(N.) armpit; see ki’le.,8
kiling,(N.) mane (of a horse).,6
kilus,"(N.) gesture, movement, campaign.
(V.) kikilus, kinilus, kumilus.",5
kimse,(N.) celery.,5
kimuq,(D./St.) unaccustomed.,5
kimut,"(N.) [rare] puppet show, movie.
(V.) kikimut ‘move around’.
mangimut, pa:kimutan.",5
kinabukas,"(V./St.) the whole night (past), did something
all night; see bu’kas.",9
kinis,"(V.) nip, nibble, be stung.
kininis, kinisan, manginis.
(D.) mekinis ‘was bitten, nipped, stung.",5
kinyud,"(V.) a motion of lower trunk.
(N.) palkinyu’ran ‘buttocks, hips’.",6
kingking,"(V.) tremble, vibrate.
kikingking, kiningking, magingking,
mipakingking, a:pakingking.",8
kirat,"(V.) wink.
mangakirat, pangakirat.
(N.) ki’rat ‘slanted eyes’.",5
kirut,"(V.) surprise (someone).
mamakirut, mipakirut ‘be surprised’,
pamakirutan.",5
kisami,"(N.) ceiling.
pekakisami ‘ceiling material’.
(V.) pa:kisami ‘have ceiling installed’,
a:pakisami, makikisami.
(D.) mikakisami ‘having a ceiling’.",6
kiskis,"(N.) friction.
kiski’san ‘rice mill’; see kaskas.",6
kit,"(V.) see; see ikit, akit.",3
kitig,"(N.) a fine mesh fish net.
(V.) ma:ngitig ‘fish with a kitig’. mengitig.",5
kitung,"(N.) male nickname, Fransisco.",6
klab,(N.) club.,4
klak,"(D.) maklak ‘deaf’.
maklak-buntuk ‘ignorant, dull, unintelligent’.",4
klasi,"(N.) class; kind, type.
kaklasi ‘classmate’.",5
kokkok,"(V.) cackle, cluck kokokkok.
66",6
kodernu,(N.) notebook; see kwadernu.,7
kodigo,"(N.) list to be memorized, sample ballot,
cheat-sheet.",6
kolera,(N.) cholera.,6
komander,"(N.) commander (Huk usage).
(V.) magkomander ‘become, be a
commander’; papagkomander.",8
komanggiq,(D./N.) brown; see kayumanggiq.,9
kometa,"(N.) comet (believed to be sign of times to
come: good if the tail is above; bad if below).",6
konderlos,"(N.) Conde Irlos–the name of a famous
corrido.",9
konsensya,(N.) conscience.,9
kontador,(N.) electricity meter.,8
kontra,"(N.) antidote, immunization, countermeasure.
pa:mangontra, pa:ngontra.
(V.) pakikontra ‘turn two screws in
opposition’; makikontra ‘oppose another’;
pa:kontra; pa:kontran; a:kakontra; mikontra.
(D./St.) makakontra ‘in opposition’.",6
konu,"(N.) rice mill; see kiskisan.
ma:ngonu ‘miller’.
(V.) mangonu ‘mill (rice)’.
makikonu, pa:konu, pa:ngonu, makapagkonu
‘have rice milled’.
(D.) makonu.",4
kopas,"(N.) one of the suits in the card game, monte.",5
korona,(N.) flower arrangement for a death.,6
koy,"(N.) address, intimate, for ko’ya.",3
koya,(N.) elder brother.,4
krisanta,"(N.) female name, short form: kre’sa.",8
krisotan,"(N.) a verse-form contest, named after the
first major Kapampangan poet and dramatist,
Juan Crisostomo Soto.
(V.) magkrisotan ‘engage in krisotan’.
makikrisotan, papagkrisotan.",8
ku,(Subs.) short form of a’ku ‘I’.,2
kubo,"(N.) shack, small house in fields; see
balebalayan.",4
kubo,(N.) DC-3 type airplane.,4
kubyertus,"(N.) silverware, eating utensils.
(V.) mangubyertus ‘use utensils to eat’.",9
kuku,"(N.) toe and finger nails.
pekakuku ’artificial fingernail.
(V.) manguku ‘cut one’s fingernails’; pa:kuku,
pakikuku, pa:ngukuan, a:kuku, mipanguku.
(D.) makuku.",4
kukuq,"(N./V.) cough.
ma:ngukuq, makikukuq, mipakukuq,
mangapanguku, magpakukuq.",5
kudkuran,"(N.) a small hand-tool used for scraping the
soft meat from young coconuts.
(V.) kudkura’n ‘scrape (a coconut), scratch
(hair, i.e. head)’.",8
kudjape,(N.) writing [apparently rare].,7
kudraru,"(N.) square.
pekakudradu ‘square shape’.
(D.) makudradu.
(V.) pa:kudradu, pangudradu, pangudradwan.",7
kalakatiq,"(N.) a scissors-like tool used for opening
luyus.
(V.) magkulakatiq.",9
kulait,"(V.) cry out, shout, yell, scream. pangulait.",6
kulam,"(N.) sorcery.
magkukulam ‘sorcerer’, pangapangkukulam
‘the likeness of a sorcerer’.
(V.) kulaman ‘bewitch someone’, ki:laman
‘was bewitched’, magpakulam, mangakulam,
pakikulam, a:kulam, a:pangulam, makikulam,
mipangulam.
(D.) makulam, mekulam.",5
kulang,"(Q.) lacking.
(V.) magkulang ‘do wrong’, makikulang,
pa:kulang, a:pakulang, ke:kulang;
magkulangan, mangakulangan, pakikulangan,
kakulangan, pa:ngulangan, ke:kulangan,
kinulangan, a:kulangan.
(D.) makulang, mekulang.",6
kulangut,"(N.) nasal mucus, snot.
(D.) makulangut ‘have a head cold’.",8
kulap,(V.) remove lice.,5
kulapu,"(N.) mold.
(V.) mangulapu ‘get moldy’.",6
kulas,"(N.) nickname of Nicolas.
69",5
kulasisiq,"(N.) common-law wife, constant female
companion.",9
kulati,"(V.) curl, twist, entwine. kukulati.",6
kulayu,(N.) owl.,6
kulkul,"(V.) dig.
kukulkul, kinulkul; kulkukan, kilkulan.",6
kuldas,"(V.) go down, get off (a vehicle, a platform).
manguldas, makakuldas, mipakuldas,
mikuldas, pa:kuldas, pakuldasan, pa:nguldas,
pakikuldas, a:kuldas.
(N.) kulda’san ‘place to get off’.",6
